init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
1.0,0.1,0.995,0.1,0.0,[2.12 2.13 2.15 ... 1.18 1.18 1.18],1.1763,0.9531098100428933,0.0602,1.181,0.9392757848470279,
1.0,0.1,0.995,0.1,0.9,[2.04 2.05 2.09 ... 1.22 1.24 1.24],1.187,0.9782796123808365,0.0621,1.158,0.8994642850052471,
1.0,0.1,0.995,0.1,0.99,[2.3  2.26 2.22 ... 1.1  1.1  1.1 ],1.169,0.9410839494965367,0.0578,1.159,0.931514358450797,
1.0,0.1,0.995,0.01,0.0,[1.68 1.7  1.7  ... 1.19 1.19 1.19],1.1617,0.9330343562806249,0.056,1.133,0.8690863018135772,
1.0,0.1,0.995,0.01,0.9,[2.11 2.08 2.04 ... 1.16 1.16 1.16],1.1585,0.9146462430907373,0.0543,1.129,0.8522669769502981,
1.0,0.1,0.995,0.01,0.99,[1.77 1.78 1.81 ... 1.33 1.33 1.29],1.1514,0.9218883012599738,0.0545,1.168,0.9098219606054803,
1.0,0.1,0.995,0.001,0.0,[2.11 2.16 2.14 ... 1.08 1.08 1.08],1.1611,0.9153943357919581,0.0558,1.138,0.8419952493927741,
1.0,0.1,0.995,0.001,0.9,[1.96 1.97 1.95 ... 1.1  1.1  1.1 ],1.165,0.9349732616497651,0.0564,1.118,0.8367054439885041,
1.0,0.1,0.995,0.001,0.99,[2.04 2.05 2.03 ... 1.28 1.28 1.28],1.1696,0.9361815208601375,0.0571,1.164,0.8905638663229046,
1.0,0.1,0.9,0.1,0.0,[2.46 2.48 2.44 ... 1.31 1.31 1.27],1.1698,0.9225876435331225,0.0576,1.185,0.9331532564375477,
1.0,0.1,0.9,0.1,0.9,[4.02 4.02 3.98 ... 1.3  1.3  1.26],1.173,0.9439655714060761,0.0575,1.145,0.8865523109213579,
1.0,0.1,0.9,0.1,0.99,[1.35 1.35 1.31 ... 2.98 2.98 2.95],1.4267,1.0989208843224338,0.1863,2.955,0.8031033557394712,
1.0,0.1,0.9,0.01,0.0,[2.93 2.93 2.88 ... 0.98 0.98 0.98],1.6052,1.204961808523407,0.2772,1.133,0.8457606044265719,
1.0,0.1,0.9,0.01,0.9,[1.38 1.34 1.35 ... 1.08 1.08 1.08],1.1628,0.9161310823239216,0.0536,1.186,0.9712898640467738,
1.0,0.1,0.9,0.01,0.99,[1.43 1.44 1.45 ... 1.21 1.21 1.21],1.1484,0.9018744036727064,0.0508,1.086,0.7736950303575691,
1.0,0.1,0.9,0.001,0.0,[1.45 1.45 1.43 ... 1.18 1.18 1.18],1.1597,0.9194541369747595,0.0537,1.118,0.8173591621802497,
1.0,0.1,0.9,0.001,0.9,[1.39 1.4  1.4  ... 1.26 1.26 1.25],1.1417,0.8652289350224021,0.0472,1.182,0.9396148146980231,
1.0,0.1,0.9,0.001,0.99,[1.3  1.31 1.31 ... 1.17 1.17 1.21],1.131,0.8580437051805695,0.0459,1.165,0.9239994588743006,
1.0,0.1,0.5,0.1,0.0,[1.18 1.18 1.18 ... 1.1  1.1  1.1 ],1.093,0.7040958741535133,0.0305,1.099,0.7093652091835346,
1.0,0.1,0.5,0.1,0.9,[1.14 1.15 1.15 ... 0.97 0.97 0.97],1.4034,1.0586162855350374,0.185,1.116,0.7593049453282917,
1.0,0.1,0.5,0.1,0.99,[2.97 2.99 2.96 ... 0.87 0.86 0.87],2.6715,1.1634379012220635,0.7925,0.792,0.840675918532225,
1.0,0.1,0.5,0.01,0.0,[1.14 1.1  1.06 ... 1.08 1.08 1.08],1.0991,0.7286145688908506,0.0329,1.066,0.6750140739273516,
1.0,0.1,0.5,0.01,0.9,[1.18 1.18 1.18 ... 1.11 1.11 1.11],1.0899,0.7020099643167468,0.0301,1.122,0.7450610713223448,
1.0,0.1,0.5,0.01,0.99,[1.   1.   1.   ... 1.1  1.1  1.11],1.103,0.7425570685139291,0.0343,1.111,0.7501193238412139,
1.0,0.1,0.5,0.001,0.0,[2.96 2.96 2.96 ... 2.92 2.92 2.92],2.9687,0.6268335584507262,0.9691,2.939,0.6672922897801232,
1.0,0.1,0.5,0.001,0.9,[1.13 1.09 1.09 ... 1.14 1.14 1.14],1.0919,0.7140408881849835,0.031,1.08,0.730479294709987,
1.0,0.1,0.5,0.001,0.99,[1.04 1.04 1.04 ... 1.02 1.02 1.02],1.0831,0.6788183777712563,0.0281,1.1,0.7183313998427189,
1.0,0.01,0.995,0.1,0.0,[2.17 2.15 2.2  ... 0.99 0.99 0.99],1.042,0.4578602406848623,0.0147,1.005,0.18701604209265046,
1.0,0.01,0.995,0.1,0.9,[1.74 1.75 1.73 ... 1.04 1.04 1.04],1.0453,0.4852297497062602,0.0154,1.024,0.33974107788137725,
1.0,0.01,0.995,0.1,0.99,[1.91 1.88 1.87 ... 0.99 0.99 0.99],1.0402,0.4617184856598228,0.0145,1.004,0.18969449122207002,
1.0,0.01,0.995,0.01,0.0,[2.01 1.99 1.95 ... 0.99 0.99 0.99],1.0399,0.4432922173916433,0.014,1.018,0.31886674332705195,
1.0,0.01,0.995,0.01,0.9,[2.12 2.16 2.17 ... 0.99 0.99 0.99],1.0415,0.460193165964033,0.0145,1.015,0.2911614672308134,
1.0,0.01,0.995,0.01,0.99,[2.3  2.3  2.32 ... 1.03 1.03 1.03],1.0418,0.4637378138560624,0.0144,1.012,0.260491842482639,
1.0,0.01,0.995,0.001,0.0,[2.01 1.98 1.97 ... 0.99 0.99 0.99],1.0336,0.4292680281595638,0.0127,1.007,0.2301108428562201,
1.0,0.01,0.995,0.001,0.9,[1.97 1.92 1.94 ... 1.04 1.04 1.04],1.0425,0.45704895799027917,0.0149,1.008,0.1947716611830376,
1.0,0.01,0.995,0.001,0.99,[1.95 1.97 1.97 ... 0.99 0.99 0.99],1.047,0.4816544404445993,0.0156,1.022,0.37083149812279975,
1.0,0.01,0.9,0.1,0.0,[1.17 1.18 1.14 ... 0.98 0.98 0.98],1.0203,0.32138436489661404,0.0062,1.028,0.38886501514021543,
1.0,0.01,0.9,0.1,0.9,[1.13 1.09 1.09 ... 0.99 0.99 0.99],1.0155,0.2937001021450282,0.0051,0.997,0.054690035655501276,
1.0,0.01,0.9,0.1,0.99,[1.19 1.15 1.11 ... 1.04 1.04 1.04],1.0163,0.29331605820343354,0.0052,1.023,0.3105978106812732,
1.0,0.01,0.9,0.01,0.0,[1.14 1.15 1.11 ... 1.   1.   1.  ],1.0147,0.28334415469531044,0.0049,1.027,0.3350686496824195,
1.0,0.01,0.9,0.01,0.9,[0.19 0.19 0.19 ... 1.   1.   1.04],0.9444,0.36346752262065996,0.0044,1.005,0.2344674817538671,
1.0,0.01,0.9,0.01,0.99,[0.14 0.11 0.11 ... 0.   0.   0.  ],0.0184,0.2164750332024457,0.0048,0.025,0.257633460559765,
1.0,0.01,0.9,0.001,0.0,[1.09 1.09 1.09 ... 1.08 1.08 1.08],1.0166,0.29618311903280375,0.0053,1.022,0.31227551937351733,
1.0,0.01,0.9,0.001,0.9,[1.07 1.08 1.09 ... 1.   1.   1.  ],1.0163,0.2956929319412286,0.0052,1.015,0.2911614672308134,
1.0,0.01,0.9,0.001,0.99,[4.76 4.76 4.76 ... 4.94 4.94 4.94],4.97,0.31480152477394385,0.995,4.966,0.32687000474194633,
1.0,0.01,0.5,0.1,0.0,[1.   1.   1.   ... 0.99 0.99 0.99],1.0144,0.2645612216482226,0.0043,1.017,0.28759520162895624,
1.0,0.01,0.5,0.1,0.9,[0.99 0.99 0.99 ... 1.04 1.04 1.04],1.01,0.23643180835073777,0.0033,1.006,0.18429324458590443,
1.0,0.01,0.5,0.1,0.99,[1.06 1.06 1.02 ... 1.08 1.08 1.08],1.0171,0.2908738386311151,0.0051,1.01,0.2643860813280457,
1.0,0.01,0.5,0.01,0.0,[1.07 1.03 1.04 ... 1.   1.   1.  ],1.0094,0.2500232789161841,0.0036,1.022,0.31227551937351733,
1.0,0.01,0.5,0.01,0.9,[1.04 1.04 1.04 ... 1.   1.   1.  ],1.0133,0.26930115113010566,0.0043,1.02,0.2821347195933178,
1.0,0.01,0.5,0.01,0.99,[1.08 1.08 1.08 ... 1.04 1.04 1.04],1.012,0.2526974475533934,0.0038,1.004,0.18969449122207005,
1.0,0.01,0.5,0.001,0.0,[1.03 1.04 1.   ... 1.   1.   1.  ],1.0093,0.2421022717778583,0.0034,1.006,0.18429324458590446,
1.0,0.01,0.5,0.001,0.9,[0.98 0.98 0.99 ... 1.03 1.04 1.04],1.0073,0.22944870886540203,0.003,1.013,0.2585169240107889,
1.0,0.01,0.5,0.001,0.99,[0.99 0.99 1.   ... 1.   1.   1.  ],1.0082,0.23180327866533726,0.0031,1.005,0.18701604209265046,
0.5,0.1,0.995,0.1,0.0,[1.56 1.51 1.51 ... 1.08 1.08 1.07],1.1412,0.8823052532995596,0.0488,1.169,0.9319007457878763,
0.5,0.1,0.995,0.1,0.9,[1.47 1.47 1.51 ... 1.15 1.15 1.15],1.15,0.9048204241726644,0.0518,1.092,0.7678124771062267,
0.5,0.1,0.995,0.1,0.99,[1.75 1.73 1.74 ... 1.09 1.09 1.09],1.1665,0.94306826370099,0.056,1.178,0.9593310169070943,
0.5,0.1,0.995,0.01,0.0,[3.03 2.99 2.99 ... 1.15 1.15 1.11],1.1663,0.9298625220966807,0.0551,1.173,0.9534521487730782,
0.5,0.1,0.995,0.01,0.9,[1.83 1.83 1.83 ... 1.14 1.14 1.13],1.1503,0.8976134524393004,0.0518,1.162,0.893171875956694,
0.5,0.1,0.995,0.01,0.99,[1.46 1.46 1.47 ... 1.19 1.19 1.15],1.1554,0.908763357535943,0.053,1.168,0.9464544363042523,
0.5,0.1,0.995,0.001,0.0,[1.42 1.42 1.42 ... 1.09 1.09 1.09],1.1602,0.9293739613309597,0.0543,1.118,0.8532736958327028,
0.5,0.1,0.995,0.001,0.9,[1.41 1.41 1.41 ... 1.18 1.18 1.18],1.1696,0.9277046081592999,0.0554,1.157,0.9001949788795758,
0.5,0.1,0.995,0.001,0.99,[1.74 1.74 1.73 ... 1.27 1.27 1.27],1.157,0.9125519163313394,0.0531,1.154,0.9456659029488164,
0.5,0.1,0.9,0.1,0.0,[1.17 1.17 1.18 ... 1.12 1.12 1.12],1.133,0.8638929331809586,0.0459,1.14,0.8522910301065008,
0.5,0.1,0.9,0.1,0.9,[1.02 1.02 1.02 ... 1.11 1.12 1.12],1.1503,0.8886562383734219,0.0503,1.135,0.8583559867560778,
0.5,0.1,0.9,0.1,0.99,[1.15 1.11 1.07 ... 1.   1.   1.  ],1.1513,0.9001157203382242,0.0516,1.221,1.0169360845205562,
0.5,0.1,0.9,0.01,0.0,[1.12 1.12 1.12 ... 1.07 1.07 1.07],1.1277,0.8454541442325539,0.0442,1.123,0.8329891956082024,
0.5,0.1,0.9,0.01,0.9,[1.3  1.3  1.3  ... 1.22 1.22 1.22],1.1532,0.8841548280702879,0.0496,1.187,0.9581393426845596,
0.5,0.1,0.9,0.01,0.99,[1.08 1.08 1.08 ... 1.16 1.16 1.16],1.1394,0.8707282239596922,0.0476,1.125,0.8422440263961508,
0.5,0.1,0.9,0.001,0.0,[0.96 0.97 0.98 ... 1.1  1.1  1.1 ],1.1388,0.8662185405542877,0.0471,1.161,0.9050298337624014,
0.5,0.1,0.9,0.001,0.9,[1.09 1.05 1.05 ... 1.25 1.25 1.25],1.1584,0.8940410728820013,0.0504,1.167,0.911652894472452,
0.5,0.1,0.9,0.001,0.99,[1.33 1.29 1.25 ... 1.18 1.18 1.18],1.1461,0.8740450732084701,0.0479,1.138,0.8419952493927743,
0.5,0.1,0.5,0.1,0.0,[1.25 1.21 1.22 ... 1.02 1.02 1.02],1.0938,0.711618971079327,0.0315,1.107,0.7612824705718633,
0.5,0.1,0.5,0.1,0.9,[1.19 1.2  1.2  ... 1.16 1.16 1.16],1.105,0.7357818970319941,0.0335,1.115,0.7561580522615625,
0.5,0.1,0.5,0.1,0.99,[1.03 1.03 1.03 ... 1.04 1.03 1.03],1.0993,0.7344654586840691,0.0332,1.158,0.8619953596162802,
0.5,0.1,0.5,0.01,0.0,[1.14 1.1  1.1  ... 1.03 1.03 1.03],1.083,0.6924673277491148,0.0291,1.041,0.5633107490541965,
0.5,0.1,0.5,0.01,0.9,[0.17 0.14 0.14 ... 1.12 1.12 1.12],0.9978,0.8395207918807014,0.0387,1.089,0.7134977224911092,
0.5,0.1,0.5,0.01,0.99,[1.12 1.12 1.12 ... 1.18 1.18 1.14],1.0894,0.7086660990903967,0.0304,1.115,0.7601151228596889,
0.5,0.1,0.5,0.001,0.0,[1.02 0.98 0.97 ... 1.02 1.02 1.02],1.0946,0.714178437086979,0.0311,1.055,0.6228763922320383,
0.5,0.1,0.5,0.001,0.9,[1.07 1.07 1.07 ... 1.06 1.06 1.06],1.0878,0.6914413641083386,0.0291,1.082,0.6413080383092045,
0.5,0.1,0.5,0.001,0.99,[1.25 1.25 1.21 ... 0.97 0.97 0.97],1.1007,0.7409180184068951,0.0339,1.058,0.613706770371649,
0.5,0.01,0.995,0.1,0.0,[1.35 1.36 1.32 ... 1.07 1.07 1.07],1.0274,0.39274577018728035,0.0094,1.023,0.32011091827677485,
0.5,0.01,0.995,0.1,0.9,[1.57 1.57 1.57 ... 1.02 1.02 1.02],1.0334,0.4181918698396706,0.0111,1.028,0.38886501514021543,
0.5,0.01,0.995,0.1,0.99,[1.61 1.57 1.53 ... 1.03 1.03 1.03],1.0266,0.38248194728640467,0.0091,0.997,0.1516278338564526,
0.5,0.01,0.995,0.01,0.0,[1.47 1.47 1.47 ... 0.99 0.99 0.99],1.0249,0.3803682294829578,0.009,1.021,0.3443239753487985,
0.5,0.01,0.995,0.01,0.9,[1.78 1.82 1.81 ... 1.   1.   1.  ],1.0314,0.41714990111469524,0.0106,1.013,0.25851692401078885,
0.5,0.01,0.995,0.01,0.99,[1.91 1.91 1.89 ... 1.   1.   1.  ],1.029,0.40392944928539193,0.01,1.005,0.23446748175386714,
0.5,0.01,0.995,0.001,0.0,[1.54 1.5  1.51 ... 1.04 1.04 1.04],1.0341,0.41077632599749464,0.0109,1.01,0.2643860813280457,
0.5,0.01,0.995,0.001,0.9,[1.42 1.43 1.43 ... 1.04 1.04 1.04],1.0301,0.3929300064897055,0.0099,1.018,0.31886674332705195,
0.5,0.01,0.995,0.001,0.99,[1.43 1.48 1.48 ... 1.   1.   1.  ],1.0235,0.37248859042929083,0.0087,1.007,0.2301108428562201,
0.5,0.01,0.9,0.1,0.0,[1.12 1.12 1.12 ... 0.97 0.97 0.98],1.0114,0.2692026002846184,0.0042,1.014,0.292923198125379,
0.5,0.01,0.9,0.1,0.9,[1.19 1.15 1.15 ... 1.01 1.01 1.01],1.0183,0.3088124187917318,0.0057,1.013,0.32685011855589097,
0.5,0.01,0.9,0.1,0.99,[1.14 1.1  1.1  ... 1.   1.   1.  ],1.0133,0.26930115113010566,0.0043,1.007,0.1815241030827587,
0.5,0.01,0.9,0.01,0.0,[1.14 1.14 1.14 ... 1.   1.   1.  ],1.0108,0.2628371358845626,0.004,1.001,0.1974816447166672,
0.5,0.01,0.9,0.01,0.9,[1.   1.   1.01 ... 1.03 1.03 1.03],1.0078,0.22391775275756942,0.0029,1.007,0.1815241030827587,
0.5,0.01,0.9,0.01,0.99,[1.02 1.02 1.02 ... 1.   1.   1.  ],1.0162,0.2968797062784858,0.0053,1.012,0.26049184248263896,
0.5,0.01,0.9,0.001,0.0,[2.93 2.95 2.97 ... 2.97 2.97 2.97],2.9948,0.24077574628687173,0.9953,2.998,0.2366347396305116,
0.5,0.01,0.9,0.001,0.9,[1.13 1.13 1.13 ... 1.   1.   1.  ],1.0191,0.3139031538548156,0.0059,1.01,0.2643860813280457,
0.5,0.01,0.9,0.001,0.99,[1.1  1.1  1.1  ... 0.99 0.99 0.99],1.0142,0.2817771459859724,0.0049,1.01,0.2643860813280457,
0.5,0.01,0.5,0.1,0.0,[1.04 1.04 1.   ... 1.   1.   1.  ],1.0139,0.2681544144704689,0.0043,1.009,0.2256523875344553,
0.5,0.01,0.5,0.1,0.9,[1. 1. 1. ... 1. 1. 1.],1.0093,0.24619811128438815,0.0035,1.017,0.28759520162895624,
0.5,0.01,0.5,0.1,0.99,[1.08 1.04 1.04 ... 1.   1.   1.  ],1.0075,0.2290060042880972,0.003,1.004,0.18969449122207005,
0.5,0.01,0.5,0.01,0.0,[0.98 0.98 0.98 ... 1.04 1.04 1.04],1.0103,0.2315035852854119,0.0032,1.018,0.2857901327897799,
0.5,0.01,0.5,0.01,0.9,[0.97 0.98 0.98 ... 1.03 1.03 1.03],1.0083,0.2522520763046362,0.0036,1.007,0.2700944279321586,
0.5,0.01,0.5,0.01,0.99,[0.99 0.99 0.99 ... 1.   1.   1.  ],1.0099,0.24617471437984853,0.0036,0.993,0.08337265738837882,
0.5,0.01,0.5,0.001,0.0,[1.06 1.07 1.07 ... 0.99 0.99 0.99],1.0134,0.26911046059192867,0.0043,1.003,0.19233044480788788,
