init_eps,min_eps,decay,alpha,gamma,rolling_mean,total_mean,total_std,percent_above_1.5,last_10_mean,last_10_std,rounds_to_stabilize
1.0,0.1,0.995,0.1,0.0,[1.8  1.8  1.78 ... 1.16 1.16 1.12],1.1909,0.9851178558933952,0.0636,1.152,0.876867150713265,
1.0,0.1,0.995,0.1,0.9,[2.12 2.16 2.11 ... 1.08 1.08 1.08],1.1821,0.9503365666962417,0.0597,1.149,0.9026621737948256,
1.0,0.1,0.995,0.1,0.99,[1.98 1.94 1.93 ... 1.05 1.05 1.05],1.1619,0.9254665796234892,0.0558,1.104,0.8349754487408595,
1.0,0.1,0.995,0.01,0.0,[2.28 2.23 2.19 ... 1.26 1.22 1.22],1.1605,0.9304513689602483,0.0561,1.124,0.8310379052726777,
1.0,0.1,0.995,0.01,0.9,[2.12 2.08 2.09 ... 1.1  1.1  1.1 ],1.171,0.9342157138477173,0.0575,1.126,0.8426885545680562,
1.0,0.1,0.995,0.01,0.99,[2.08 2.13 2.12 ... 1.18 1.18 1.18],1.1742,0.9559573003016401,0.059,1.16,0.9404254356406999,
1.0,0.1,0.995,0.001,0.0,[1.85 1.81 1.8  ... 1.02 1.02 1.05],1.1507,0.912244216205288,0.0528,1.101,0.8042381488091696,
1.0,0.1,0.995,0.001,0.9,[2.1  2.07 2.06 ... 1.21 1.21 1.21],1.1881,0.9737137104919495,0.0625,1.201,0.9912613177159693,
1.0,0.1,0.995,0.001,0.99,[1.93 1.89 1.85 ... 1.24 1.24 1.24],1.19,0.9781104232140664,0.0632,1.138,0.8960781215943172,
1.0,0.1,0.9,0.1,0.0,[1.29 1.29 1.29 ... 1.05 1.05 1.05],1.1467,0.8835038822778314,0.0494,1.121,0.8163081525992497,
1.0,0.1,0.9,0.1,0.9,[1.07 1.05 1.05 ... 1.1  1.1  1.1 ],1.1496,0.8917509966352716,0.0506,1.179,0.897195073548668,
1.0,0.1,0.9,0.1,0.99,[1.16 1.16 1.16 ... 1.19 1.19 1.19],1.1433,0.8804346142672947,0.0487,1.163,0.9361789358877927,
1.0,0.1,0.9,0.01,0.0,[1.18 1.18 1.14 ... 1.13 1.13 1.13],1.1631,0.9160231383540484,0.0534,1.169,0.9308270516051841,
1.0,0.1,0.9,0.01,0.9,[1.05 1.06 1.06 ... 1.2  1.2  1.2 ],1.1304,0.8627837736072694,0.0462,1.125,0.8314896271150951,
1.0,0.1,0.9,0.01,0.99,[1.21 1.19 1.15 ... 1.05 1.05 1.05],1.1365,0.8675642627494519,0.047,1.154,0.8878535915340998,
1.0,0.1,0.9,0.001,0.0,[1.29 1.25 1.25 ... 1.2  1.21 1.21],1.1531,0.9043563401668614,0.0514,1.126,0.8509547579043201,
1.0,0.1,0.9,0.001,0.9,[1.21 1.17 1.17 ... 1.09 1.09 1.04],1.15,0.8949301648732152,0.05,1.117,0.8528253045026278,
1.0,0.1,0.9,0.001,0.99,[1.2  1.22 1.22 ... 1.15 1.15 1.14],1.1483,0.8982800843834846,0.0497,1.166,0.9552193465377469,
1.0,0.1,0.5,0.1,0.0,[1.06 1.06 1.06 ... 1.07 1.07 1.07],1.0972,0.7173229119441258,0.0319,1.108,0.7525529881676107,
1.0,0.1,0.5,0.1,0.9,[1.05 1.05 1.05 ... 1.12 1.12 1.12],1.0988,0.7221070280782482,0.0322,1.115,0.77315910393657,
1.0,0.1,0.5,0.1,0.99,[1.05 1.05 1.05 ... 1.   0.99 0.99],1.0887,0.7004515043884194,0.0302,1.094,0.7079293750085527,
1.0,0.1,0.5,0.01,0.0,[1.14 1.15 1.11 ... 1.06 1.06 1.06],1.1003,0.7341933737102236,0.0331,1.124,0.7659138332736914,
1.0,0.1,0.5,0.01,0.9,[1.09 1.1  1.1  ... 1.14 1.14 1.14],1.096,0.7230380349608172,0.0321,1.07,0.6411708040764176,
1.0,0.1,0.5,0.01,0.99,[1.15 1.15 1.15 ... 1.   1.   1.  ],1.0949,0.7242195730577848,0.0324,1.057,0.6047735113246943,
1.0,0.1,0.5,0.001,0.0,[1.07 1.07 1.03 ... 1.06 1.06 1.11],1.0969,0.7224336578537851,0.0326,1.076,0.635786127561777,
1.0,0.1,0.5,0.001,0.9,[1.08 1.04 1.04 ... 1.01 1.01 1.01],1.0853,0.6918265028169996,0.0294,1.1,0.7183313998427189,
1.0,0.1,0.5,0.001,0.99,[1.11 1.11 1.11 ... 1.14 1.14 1.14],1.0914,0.7106659130702695,0.0308,1.093,0.7472288805981738,
1.0,0.01,0.995,0.1,0.0,[1.99 2.   1.96 ... 0.99 0.99 0.99],1.0371,0.4518003873393648,0.0136,1.019,0.31723650483511506,
1.0,0.01,0.995,0.1,0.9,[2.21 2.21 2.16 ... 0.99 0.99 0.99],1.0431,0.46823326451673636,0.0144,1.01,0.2643860813280457,
1.0,0.01,0.995,0.1,0.99,[2.   1.98 2.02 ... 1.   1.   1.  ],1.0443,0.47067771351530974,0.015,1.004,0.23660938273872406,
1.0,0.01,0.995,0.01,0.0,[2.03 2.01 2.02 ... 1.   1.   1.  ],1.0395,0.45093209023089054,0.0139,1.019,0.31723650483511506,
1.0,0.01,0.995,0.01,0.9,[2.35 2.34 2.33 ... 1.02 1.02 1.02],1.0423,0.48529445700522894,0.0158,1.002,0.1949256268426499,
1.0,0.01,0.995,0.01,0.99,[2.16 2.2  2.16 ... 1.04 1.04 1.04],1.0374,0.4490002672604996,0.0137,1.011,0.26244809010545306,
1.0,0.01,0.995,0.001,0.0,[2.05 2.   1.95 ... 1.   1.   1.  ],1.0351,0.44482354928668066,0.0129,1.013,0.25851692401078885,
