,rnd,period,step,currentBid,currentAsk,buy,sell,price,sale,currentBidIdx_0,currentBidIdx_1,currentBidIdx_2,currentBidIdx_3,currentAskIdx_0,currentAskIdx_1,currentAskIdx_2,currentAskIdx_3,bids_0,bids_1,bids_2,bids_3,asks_0,asks_1,asks_2,asks_3,bprofit,sprofit,currentBidIdx,currentAskIdx,tprofit,bids,asks
0,0,0,0,82.3,61.2,True,True,71.75,True,False,False,False,True,False,False,True,False,65.7,63.8,51.8,82.3,77.7,85.9,61.2,65.4,19.208618680692297,29.02409216659664,3,2,48.232710847288935,"[65.7, 63.8, 51.8, 82.3]","[77.7, 85.9, 61.2, 65.4]"
1,0,0,1,82.5,46.6,True,True,64.55,True,True,False,False,False,False,False,True,False,82.5,79.2,42.2,81.4,83.6,51.8,46.6,77.5,23.19221056708581,20.4395156383684,0,2,43.63172620545421,"[82.5, 79.2, 42.2, 81.4]","[83.6, 51.8, 46.6, 77.5]"
2,0,0,2,85.8,57.5,True,True,71.65,True,False,False,False,True,False,False,False,True,45.5,53.6,66.7,85.8,83.7,68.1,81.3,57.5,15.32968547901848,26.586318891891565,3,3,41.916004370910045,"[45.5, 53.6, 66.7, 85.8]","[83.7, 68.1, 81.3, 57.5]"
3,0,0,3,79.1,51.5,True,True,65.3,True,True,False,False,False,True,False,False,False,79.1,67.6,45.0,40.1,51.5,83.4,76.0,64.2,20.479414951185987,19.88168776971351,0,0,40.361102720899495,"[79.1, 67.6, 45.0, 40.1]","[51.5, 83.4, 76.0, 64.2]"
4,0,0,4,75.5,61.1,True,True,68.3,True,False,True,False,False,False,False,True,False,58.4,75.5,42.8,58.8,74.9,65.5,61.1,77.9,15.429728449720287,13.71963992541098,1,2,29.149368375131267,"[58.4, 75.5, 42.8, 58.8]","[74.9, 65.5, 61.1, 77.9]"
5,0,0,5,68.4,50.6,True,True,59.5,True,True,False,False,False,False,True,False,False,68.4,53.7,67.5,64.6,76.8,50.6,86.1,84.8,21.11733919000325,12.677107861333688,0,1,33.79444705133694,"[68.4, 53.7, 67.5, 64.6]","[76.8, 50.6, 86.1, 84.8]"
6,0,0,6,76.8,49.5,True,True,63.15,True,False,True,False,False,False,False,False,True,49.9,76.8,39.0,44.9,50.1,89.0,60.8,49.5,13.919072711512023,17.489882097698697,1,3,31.40895480921072,"[49.9, 76.8, 39.0, 44.9]","[50.1, 89.0, 60.8, 49.5]"
7,0,0,7,77.7,55.3,True,True,66.5,True,False,False,False,True,False,True,False,False,55.5,68.3,61.1,77.7,85.1,55.3,78.3,76.4,12.505919293698668,13.621154499493628,3,1,26.127073793192295,"[55.5, 68.3, 61.1, 77.7]","[85.1, 55.3, 78.3, 76.4]"
8,0,0,8,75.8,79.1,False,True,75.8,True,False,False,False,True,False,True,False,False,44.5,75.6,71.9,75.8,81.4,79.1,89.7,84.3,2.231443682002677,22.60127409072497,3,1,24.832717772727648,"[44.5, 75.6, 71.9, 75.8]","[81.4, 79.1, 89.7, 84.3]"
9,0,0,9,76.0,61.4,True,True,68.7,True,False,False,True,False,True,False,False,False,36.5,38.5,76.0,,61.4,62.4,77.5,79.1,18.45290363651192,21.355033117055868,2,0,39.80793675356779,"[36.5, 38.5, 76.0, nan]","[61.4, 62.4, 77.5, 79.1]"
10,0,0,10,38.7,67.2,True,False,67.2,True,True,False,False,False,False,False,False,True,38.7,35.6,37.0,,88.5,76.6,76.5,67.2,5.825226431529487,17.6456683736577,0,3,23.470894805187186,"[38.7, 35.6, 37.0, nan]","[88.5, 76.6, 76.5, 67.2]"
11,0,0,11,67.5,65.5,True,True,66.5,True,False,True,False,False,True,False,False,False,,67.5,37.8,,65.5,89.9,72.0,88.5,9.79920790784989,16.876065194553547,1,0,26.675273102403438,"[nan, 67.5, 37.8, nan]","[65.5, 89.9, 72.0, 88.5]"
